variant,rebalance_mode,w1,w2,w3,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,rebalance_count,fee_paid,deferred_due_bars,flat_rebalance_hits
monthly_due_allflat_w5_35_60,monthly_due_allflat,0.05,0.35,0.6,190231.09313939727,9411.554656969864,140.24125781177023,58.17554114796604,2.4106566960000406,1,24.111456867023016,179339,1
weekly_due_allflat_w5_40_55,weekly_due_allflat,0.05,0.4,0.55,183102.21989436823,9055.110994718412,138.48211458345867,57.49706227845765,2.4085076540570247,2,27.07617021287498,181803,2
no_rebalance_w5_30_65,no_rebalance,0.05,0.3,0.65,195761.02705330995,9688.051352665498,141.5695334979535,58.81820211201105,2.406900048191784,0,0.0,0,0
monthly_due_allflat_w5_30_65,monthly_due_allflat,0.05,0.3,0.65,195737.76933604834,9686.888466802417,141.56401087453315,58.81820211201105,2.4068061550902944,1,23.257717261606846,179339,1
weekly_due_allflat_w5_35_60,weekly_due_allflat,0.05,0.35,0.6,188348.54893760328,9317.427446880165,139.78195913041537,58.16786339508653,2.4030787959494284,2,26.39736428880138,181803,2
no_rebalance_w5_25_70,no_rebalance,0.05,0.25,0.7,201266.84951037265,9963.342475518633,142.8622468129399,59.50720036977677,2.400755638396635,0,0.0,0,0
monthly_due_allflat_w5_25_70,monthly_due_allflat,0.05,0.25,0.7,201244.88599851303,9962.244299925651,142.85714704677602,59.50720036977677,2.4006699384118906,1,21.963511859623225,179339,1
weekly_due_allflat_w5_30_65,weekly_due_allflat,0.05,0.3,0.65,193530.09771385236,9576.504885692619,141.03736275255145,58.82076790440407,2.3977477305594914,2,25.229735780450774,181803,2
weekly_due_allflat_w0_10_90,weekly_due_allflat,0.0,0.1,0.9,230641.85306403108,11432.092653201553,149.3127442301221,62.285876872150816,2.3972167002899276,2,8.938704473532084,181803,2
weekly_due_allflat_w0_65_35,weekly_due_allflat,0.0,0.65,0.35,171859.3350942556,8492.966754712781,135.59193968517954,56.608000023377336,2.3952787526353925,2,23.903626005529322,181803,2
no_rebalance_w0_10_90,no_rebalance,0.0,0.1,0.9,229475.7614884542,11373.788074422711,149.06970911935758,62.285876872150816,2.3933147706235385,0,0.0,0,0
monthly_due_allflat_w0_10_90,monthly_due_allflat,0.0,0.1,0.9,229467.83310411606,11373.391655205804,149.06805328675188,62.285876872150816,2.3932881862244924,1,7.928384338154455,179339,1
no_rebalance_w5_20_75,no_rebalance,0.05,0.2,0.75,206772.6719674126,10238.63359837063,144.12670959804382,60.22932559584467,2.392965688594517,0,0.0,0,0
monthly_due_allflat_w5_20_75,monthly_due_allflat,0.05,0.2,0.75,206752.44312675152,10237.622156337577,144.12211389571848,60.22932559584467,2.392889385194473,1,20.228840661082533,179339,1
