episode_id,peak_idx,trough_idx,recovery_idx,peak_time,trough_time,recovery_time,peak_equity,trough_equity,recovery_equity,depth_pct,days_to_trough,days_to_recovery,recovered,btc_peak_to_trough_pct,btc_peak_to_recovery_pct,bullish_4h_share_pct,bearish_4h_share_pct,long_share_pct,short_share_pct,flat_share_pct,short_gate_open_share_pct,avg_bearish_ob_above_count,avg_bullish_ob_below_count,side_change_count,episode_label
U396,138780,145111,152436.0,2024-12-17 15:00:00,2025-02-21 13:45:00,2025-05-08 21:00:00,180234.62907213438,95346.07605223962,180562.78511911278,47.09891404160754,65.94791666666667,142.25,True,-8.094874676805386,-5.183879815542025,47.82059380922299,52.179406190777,44.01452937460518,33.875552747946934,22.109917877447884,5.890713834491472,4.605495893872394,4.90998104864182,16,양방향 휩쏘 누적
U397,152438,152463,152477.0,2025-05-08 21:30:00,2025-05-09 03:45:00,2025-05-09 07:15:00,183572.94289880263,180083.39676291106,184239.3814181241,1.9009043929830383,0.2604166666666667,0.40625,True,-0.8760888172800962,0.16731669719938225,100.0,0.0,100.0,0.0,0.0,0.0,5.0,5.0,0,혼합형 추세/휩쏘
U398,152479,152486,152578.0,2025-05-09 07:45:00,2025-05-09 09:30:00,2025-05-10 08:30:00,185910.87710257966,180152.817442007,186134.5659574445,3.0972150475066296,0.07291666666666667,1.03125,True,-1.437188232191089,0.05583182683661647,100.0,0.0,100.0,0.0,0.0,0.0,5.0,4.875,0,혼합형 추세/휩쏘
U399,152578,152621,152637.0,2025-05-10 08:30:00,2025-05-10 19:15:00,2025-05-10 23:15:00,186134.5659574445,182709.42678493646,188074.1025972985,1.8401413809894462,0.4479166666666667,0.6145833333333334,True,-0.8544237426088119,0.48383031207970273,100.0,0.0,100.0,0.0,0.0,0.0,5.0,4.9772727272727275,0,혼합형 추세/휩쏘
U400,152638,152639,152640.0,2025-05-10 23:30:00,2025-05-10 23:45:00,2025-05-11 00:00:00,188588.97263392707,187733.94126972818,188810.34746615536,0.45338354213244614,0.010416666666666666,0.020833333333333332,True,-0.21199528006899948,0.054887366152267525,100.0,0.0,100.0,0.0,0.0,0.0,5.0,5.0,0,혼합형 추세/휩쏘
U401,152640,152672,152684.0,2025-05-11 00:00:00,2025-05-11 08:00:00,2025-05-11 11:00:00,188810.34746615536,184232.0536797751,188986.21318653188,2.4248108474038688,0.3333333333333333,0.4583333333333333,True,-1.1345130510573842,0.04357998073307723,100.0,0.0,100.0,0.0,0.0,0.0,5.0,5.0,0,혼합형 추세/휩쏘
U402,152684,152685,152689.0,2025-05-11 11:00:00,2025-05-11 11:15:00,2025-05-11 12:15:00,188986.21318653188,187895.9228542855,189122.74052208732,0.5769152753858475,0.010416666666666666,0.052083333333333336,True,-0.27005907482555713,0.033817089666876576,100.0,0.0,100.0,0.0,0.0,0.0,5.0,5.0,0,혼합형 추세/휩쏘
U403,152689,152731,152764.0,2025-05-11 12:15:00,2025-05-11 22:45:00,2025-05-12 07:00:00,189122.74052208732,184897.3351877783,190137.05377776755,2.2342132535962955,0.4375,0.78125,True,-1.0462564531562357,0.2511550266338869,100.0,0.0,100.0,0.0,0.0,0.0,5.0,5.0,0,혼합형 추세/휩쏘
U404,152765,152811,153376.0,2025-05-12 07:15:00,2025-05-12 18:45:00,2025-05-18 16:00:00,192262.86923986243,175901.18651781732,192527.05349086656,8.510058539505449,0.4791666666666667,6.364583333333333,True,-4.02007383654378,0.06491020596908204,100.0,0.0,100.0,0.0,0.0,0.0,4.914893617021277,4.9787234042553195,0,혼합형 추세/휩쏘
U405,153376,153377,153380.0,2025-05-18 16:00:00,2025-05-18 16:15:00,2025-05-18 17:00:00,192527.05349086656,191741.44280576368,192856.0303756937,0.40805210013777904,0.010416666666666666,0.041666666666666664,True,-0.19289973664498028,0.08077735658231777,100.0,0.0,100.0,0.0,0.0,0.0,3.5,5.0,0,혼합형 추세/휩쏘
